X4,Y4,X2,Y2
1.05E+11,8.15E+00,0.001457991,3.48E-05
1.22E+11,4.40E+00,0.002974854,3.48E-05
1.69E+11,3.40E+00,0.00606983,3.48E-05
2.26E+11,2.36E+00,0.012384755,3.48E-05
3.23E+11,1.70E+00,0.025269593,3.48E-05
4.32E+11,1.09E+00,0.051559548,3.48E-05
5.60E+11,7.71E-01,0.105201018,3.48E-05
7.26E+11,5.79E-01,0.214649949,3.48E-05
8.54E+11,3.84E-01,0.43796725,3.48E-05
1.00E+12,2.51E-01,0.893619181,3.48E-05
5.24E+12,3.18E-01,1.823321816,3.48E-05
5.97E+12,2.05E-01,3.720267554,3.48E-05
7.02E+12,1.28E-01,7.590755812,3.48E-05
1.11E+13,7.02E-02,15.4880188,3.48E-05
1.48E+13,1.15E-01,31.60142839,3.48E-05
1.86E+13,1.75E-01,64.47889103,3.48E-05
1.92E+13,7.85E+00,131.5613756,3.48E-05
1.92E+13,5.40E+00,268.4350686,3.48E-05
1.90E+13,3.34E+00,547.7092784,3.48E-05
1.94E+13,7.13E-01,1117.534513,3.48E-05
1.92E+13,4.56E-01,2280.193958,3.48E-05
1.92E+13,3.13E-01,4652.45988,3.48E-05
1.86E+13,2.51E-01,9309.938744,3.47E-05
1.98E+13,2.55E+00,19368.872,3.48E-05
1.98E+13,1.75E+00,35857.65448,3.50E-05
1.98E+13,1.20E+00,80635.45142,3.45E-05
48453990911,9.04E+00,164526.8822,3.48E-05
50389351235,7.21E+00,314624.2422,3.48E-05
61289324309,6.68E+00,684949.5114,3.46E-05
63737356439,7.77E+00,1397556.603,3.48E-05
63737356439,9.04E+00,2851545.152,3.48E-05
1.02E+11,6.94E+00,5818232.861,3.48E-05
1.02E+11,5.33E+00,11871400.18,3.48E-05
1.07E+12,1.91E-01,24222155.69,3.48E-05
1.07E+12,1.47E-01,49422377.94,3.48E-05
1.07E+12,0.112715485,60033025.6,7.27E+00
1.07E+12,8.98E-02,100840382.4,3.49E-05
1.07E+12,0.06895683,122490125.1,3.78E+00
1.07E+12,5.71E-02,205752599.1,3.28E-05
1.03E+12,0.047251827,249926279.6,1.99E+00
1.03E+12,3.91E-02,419813283.5,3.04E-05
1.07E+12,0.025808615,519959395.3,1.02E+00
1.03E+12,3.24E-02,829257210.8,2.58E-05
1.30E+12,0.015789138,1033011662,0.532819835
1.25E+12,1.77E-02,1603013427,7.09E-05
2.43E+12,0.052925651,1392943523,1.38E-04
2.63E+12,0.061564405,1805325989,3.03E-01
2.85E+12,0.074371926,2216740303,1.20E-01
3.08E+12,0.083302231,2192917174,0.049430231
3.20E+12,0.096899182,2192917174,2.48E-02
3.20E+12,0.100631971,2192917174,0.012478968
3.46E+12,0.117057556,2390908397,4.72E-03
3.74E+12,1.36E-01,2751481448,6.00E-06
3.89E+12,0.164491049,3342205760,3.15E-03
4.05E+12,0.184242525,3972963732,0.000625729
4.38E+12,0.22257133,4059754555,0.001738672
4.38E+12,2.40E-01,1085015297,2.86E-05
4.38E+12,2.69E-01,1128353225,3.59E-05
5.99E+12,2.49E-01,1173422166,4.86E-05
6.74E+12,1.64E-01,1173422166,6.10E-05
7.88E+12,1.09E-01,1173422166,6.83E-05
9.22E+12,8.02E-02,1173422166,7.95E-05
9.22E+12,7.16E-02,1173422166,8.90E-05
1.36E+13,0.080212262,1220291261,1.08E-04
1.36E+13,0.096899182,1319720393,1.20E-04
1.66E+13,0.136164196,1543543172,0.00012988
1.16E+12,2.22E-02,1605195725,9.97E-05
1.30E+12,1.64E-02,1669310817,8.90E-05
1.46E+12,0.014639515,1669310817,0.000103526
1.52E+12,1.52E-02,1669310817,7.37E-05
1.52E+12,1.77E-02,1805325989,6.58E-05
1.52E+12,1.91E-02,2111506816,5.05E-05
1.52E+12,1.98E-02,2111506816,4.86E-05
1.52E+12,2.22E-02,2111506816,4.51E-05
1.52E+12,2.22E-02,2111506816,4.34E-05
1.52E+12,2.39E-02,2111506816,4.34E-05
1.52E+12,2.78E-02,2111506816,4.18E-05
1.46E+12,2.89E-02,2111506816,3.59E-05
1.46E+12,2.89E-02,2111506816,3.59E-05
1.46E+12,3.12E-02,2030407805,2.97E-05
1.46E+12,3.36E-02,2030407805,2.46E-05
1.46E+12,3.77E-02,2030407805,1.96E-05
1.46E+12,3.91E-02,1952423656,1.62E-05
1.46E+12,4.22E-02,1952423656,1.45E-05
1.46E+12,4.55E-02,1952423656,1.20E-05
1.46E+12,4.73E-02,1952423656,1.03E-05
1.46E+12,4.73E-02,1952423656,8.23E-06
1.46E+12,5.10E-02,2111506816,7.07E-06
1.52E+12,5.71E-02,2195845101,6.56E-06
1.52E+12,5.71E-02,2568257436,5.64E-06
1.52104E+12,0.061564405,2777518632,5.43E-06
1.58179E+12,0.06895683,3378337605,6.08E-06
1.58179E+12,0.074371926,3653604001,7.07E-06
1.58179E+12,0.086511233,3653604001,7.34E-06
1.58179E+12,0.093304855,3653604001,8.23E-06
1.58179E+12,0.096899182,3799537082,9.57E-06
1.58179E+12,0.108534476,3799537082,9.94E-06
1.58179E+12,0.112715485,3799537082,1.16E-05
1.58179E+12,0.117057556,3951299057,1.25E-05
1.64497E+12,0.117057556,3951299057,1.29E-05
1.71068E+12,0.112715485,3951299057,1.45E-05
1.71068E+12,0.112715485,3951299057,1.56E-05
1.71068E+12,0.093304855,3951299057,1.75E-05
1.77901E+12,0.086511233,3951299057,1.89E-05
1.77901E+12,0.086511233,3951299057,1.89E-05
1.77901E+12,0.080212262,3951299057,2.04E-05
1.77901E+12,0.077236911,3951299057,2.04E-05
1.77901E+12,0.074371926,3951299057,2.28E-05
1.77901E+12,0.071613213,3951299057,2.37E-05
1.77901E+12,0.061564405,3951299057,2.46E-05
1.77901E+12,0.059280767,4273250257,2.97E-05
1.85006E+12,0.059280767,4109122742,2.76E-05
1.85006E+12,0.054964474,4109122742,3.09E-05
1.85006E+12,0.050962455,4109122742,3.33E-05
1.92396E+12,0.043811373,4109122742,3.87E-05
1.92396E+12,0.042186257,4109122742,4.02E-05
1.92396E+12,0.039114633,4273250257,5.24E-05
1.92396E+12,0.037663736,4273250257,5.44E-05
1.92396E+12,0.037663736,4273250257,7.37E-05
2.08072E+12,0.042186257,4273250257,7.95E-05
2.08072E+12,0.043811373,4273250257,9.97E-05
2.08072E+12,0.045499093,4273250257,0.000111655
2.25026E+12,0.047251827,4273250257,0.000125063
2.53081E+12,0.047251827,4273250257,0.000145476
,,4273250257,0.00015108
,,4273250257,0.00018954
,,4273250257,0.000237792
,,4273250257,0.000256465
,,4273250257,0.000298327
,,4273250257,0.000360389
,,4273250257,0.000403663
,,4273250257,0.000435362
,,4273250257,0.000452134
,,4109122742,0.001038522
,,3799537082,0.002385421
,,2111506816,0.007138799
,,2111506816,0.17740833
,,0.001106472,3.33E-05
,,49170883.13,8.705795905
